,0
0,Correct
1,Correct
2,Correct
3,Correct
4,Correct
5,Correct
6,Correct
7,Correct
8,Correct
9,Correct
10,Correct
11,Correct
12,Correct
13,Correct
14,Correct
15,Correct
16,Correct
17,Correct
18,Correct
19,Correct
20,Correct
21,Correct
22,Correct
23,Correct
24,Correct
25,Correct
26,Correct
27,Correct
28,Correct
29,Incorrect
30,Correct
31,Correct
32,Incorrect
33,No key response
34,Correct
35,Correct
36,Incorrect
37,Correct
38,Correct
39,Correct
40,Incorrect
41,Correct
42,Correct
43,Correct
44,Correct
45,Correct
46,Correct
47,Correct
48,Correct
49,Correct
50,Correct
51,Correct
52,Correct
53,Correct
54,Correct
55,Correct
56,Incorrect
57,Incorrect
58,Correct
59,Correct
60,Correct
61,Correct
62,Correct
63,Correct
64,Correct
65,Correct
66,Correct
67,Correct
68,Correct
69,Correct
70,Correct
71,Correct
72,Incorrect
73,Correct
74,Correct
75,Correct
76,Incorrect
77,Correct
78,Correct
79,Correct
80,Correct
81,Correct
82,Correct
83,Correct
84,Correct
85,Correct
86,Correct
87,Correct
88,Correct
89,Correct
90,Correct
91,Correct
92,Correct
93,Correct
94,Correct
95,Correct
96,Correct
97,Correct
98,Correct
99,Correct
100,Correct
101,Correct
102,Correct
103,Correct
104,Correct
105,Correct
106,Correct
107,Correct
108,Correct
109,Correct
110,Correct
111,Correct
112,Incorrect
113,Correct
114,Correct
115,Correct
116,Incorrect
117,Correct
118,Correct
119,Correct
120,Correct
121,Correct
122,Correct
123,Incorrect
124,Correct
125,Correct
126,Correct
127,Correct
128,Correct
129,Correct
130,Correct
131,Correct
132,Correct
133,Correct
134,Correct
135,Correct
136,Incorrect
137,Incorrect
138,Correct
139,Correct
140,Correct
141,Correct
142,Correct
143,Correct
144,Correct
145,Correct
146,Correct
147,Correct
148,Correct
149,Correct
150,Correct
151,Correct
152,Correct
153,Correct
154,Correct
155,Correct
156,Correct
157,Incorrect
158,Correct
159,Correct